"Station","lon","lat"
"Lithgow Station",150.1574494,-33.4804744
"Liverpool Station",150.9272096,-33.9243088
"Lochinvar Station",151.4501368,-32.7206119
"Loftus Station",151.0511945,-34.0451058
"Lysaghts Station",150.8760279,-34.4548827
"Macarthur Station",150.7972521,-34.07195
"Macdonaldtown Station",151.1863392,-33.8967611
"Macquarie Fields Station",150.8790718,-33.9847434
"Macquarie Park Station",151.1225978,-33.7830585
"Macquarie University Station",151.1180126,-33.7770817
"Maitland Station",151.5874878,-32.7445004
"Marayong Station",150.9001946,-33.746309
"Marrickville Station",151.1531684,-33.9137772
"Martin Place Station",151.211807,-33.867924
"Martins Creek Station",151.6185118,-32.5586721
"Marulan Station",150.0059531,-34.7096042
"Mascot Station",151.1872054,-33.9231718
"Meadowbank Station",151.0901473,-33.8159902
"Medlow Bath Station",150.2806553,-33.6735637
"Menangle Park Station",150.7448675,-34.1037136
"Menangle Station",150.7441446,-34.1255537
"Merrylands Station",150.9925513,-33.8365039
"Metford Station",151.6180379,-32.7650156
"Milsons Point Station",151.2118241,-33.8458572
"Mindaribba Station",151.5845002,-32.6683303
"Minnamurra Station",150.8525848,-34.6260084
"Minto Station",150.8424662,-34.0272947
"Miranda Station",151.1025719,-34.0363093
"Mittagong Station",150.4482245,-34.4524894
"Morisset Station",151.4878595,-33.1089992
"Mortdale Station",151.0812595,-33.9706333
"Moss Vale Station",150.371827,-34.547926
"Mount Colah Station",151.1149343,-33.6714627
"Mount Druitt Station",150.8229147,-33.7653888
"Mount Kuring-gai Station",151.1368566,-33.6531647
"Mount Victoria Station",150.2570418,-33.5878115
"Mulgrave Station",150.8304862,-33.626628
"Museum Station",151.2093033,-33.8765641
"Muswellbrook Station",150.9773385,-32.3715056
"Narara Station",151.3444666,-33.3947709
"Narwee Station",151.0701728,-33.9475524
"Newcastle Station",151.7831569,-32.9304281
"Newtown Station",151.1785564,-33.8966215
"Niagara Park Station",151.354433,-33.3832051
"Normanhurst Station",151.097172,-33.7208698
"North Ryde Station",151.1378762,-33.794587
"North Strathfield Station",151.0881256,-33.8589329
"North Sydney Station",151.2072142,-33.8410752
"North Wollongong Station",150.8913286,-34.412333
"Oak Flats Station",150.819417,-34.562679
"Oatley Station",151.0790521,-33.9807522
"Olympic Park Station",151.062064,-33.8498547
"Otford Station",151.0055905,-34.2107278
"Ourimbah Station",151.3700316,-33.3595595
"Padstow Station",151.0323912,-33.9518961
